iso3,region,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CHL,AMR,16806.0,8413.0,2542.0,1062.0,15381.0,34390.0,3844.0,6527.0,9438.0,6752.0,4785.0,17101.0,12563.0,2623.0,45079.0,13008.0,1958.0,2098.0,1.0,1.0,0.0,0.0,0.0,58.0,6.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,24.0,11.0,2.0,0.0,0.0
CHN,WPR,3276531.0,2553084.0,2558995.0,2640161.0,2377776.0,1717031.0,1122285.0,1010755.0,892870.0,781475.0,619709.0,418159.0,198738.0,104925.0,96994.0,85049.0,85705.0,123428.0,140048.0,117851.0,76204.0,53232.0,68404.0,79621.0,53030.0,61840.0,71093.0,88962.0,58341.0,71879.0,70549.0,124219.0,99602.0,109023.0,131441.0,52461.0,38159.0,9943.0,6183.0,26883.0,52628.0,42361.0,24820.0,5941.0,3940.0,2974.0,867.0,554.0,552.0
CIV,AFR,79578.0,73521.0,11139.0,12503.0,11670.0,8840.0,7633.0,14782.0,15605.0,7139.0,5946.0,8892.0,23839.0,34170.0,16864.0,18660.0,17799.0,9902.0,14765.0,7465.0,,30039.0,20858.0,9665.0,12289.0,4824.0,5729.0,5790.0,5882.0,4770.0,3466.0,115.0,11.0,5.0,12.0,183.0,441.0,628.0,137.0,48.0,50.0,65.0,45.0,163.0,453.0,372.0,600.0,1837.0,1596.0
CMR,AFR,34750.0,,7277.0,,23837.0,,,10546.0,33876.0,58904.0,38580.0,47178.0,31936.0,16654.0,23207.0,24314.0,21150.0,14622.0,27442.0,10892.0,1548.0,2463.0,11770.0,7504.0,10731.0,10894.0,14629.0,23934.0,1448.0,899.0,358.0,605.0,196.0,100.0,495.0,251.0,240.0,504.0,609.0,760.0,831.0,1809.0,338.0,712.0,814.0,2809.0,1509.0,771.0,3217.0
COD,AFR,57774.0,51040.0,59919.0,43451.0,37896.0,29497.0,32596.0,38142.0,30775.0,21057.0,11385.0,19508.0,19430.0,14866.0,13214.0,11178.0,4564.0,,63.0,2749.0,12573.0,5443.0,9546.0,5766.0,15271.0,12135.0,8282.0,8072.0,30466.0,21956.0,44934.0,182485.0,80123.0,55577.0,12461.0,57.0,5407.0,133802.0,72029.0,88381.0,33711.0,5020.0,5092.0,45107.0,69693.0,333017.0,82290.0,54471.0,4380.0
COG,AFR,12380.0,16611.0,16523.0,15831.0,15736.0,27048.0,11892.0,9668.0,12931.0,16642.0,18615.0,7600.0,6424.0,1420.0,454.0,498.0,3608.0,4042.0,4302.0,693.0,226.0,2381.0,3897.0,1267.0,174.0,313.0,1678.0,2152.0,2788.0,3712.0,3524.0,146.0,126.0,84.0,2.0,1.0,4.0,315.0,260.0,124.0,71.0,1359.0,277.0,958.0,28.0,66.0,37.0,160.0,6718.0
COK,WPR,26.0,58.0,103.0,136.0,28.0,8.0,363.0,57.0,14.0,4.0,1.0,50.0,5.0,16.0,15.0,691.0,36.0,61.0,9.0,3.0,0.0,7.0,0.0,194.0,9.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,
COL,AMR,25969.0,10706.0,23272.0,21362.0,20446.0,18144.0,9222.0,19612.0,9273.0,13099.0,11849.0,5572.0,5180.0,20620.0,14801.0,12598.0,12520.0,10391.0,7976.0,9105.0,525.0,410.0,160.0,67.0,61.0,44.0,1.0,3.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,208.0,244.0,1.0,0.0,0.0
COM,AFR,1876.0,,277.0,277.0,0.0,0.0,1801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,2328.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,912.0,85.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,4.0
CPV,AFR,,,440.0,204.0,261.0,306.0,1279.0,150.0,1282.0,1385.0,49.0,3048.0,,450.0,7.0,1.0,0.0,7.0,1.0,0.0,30.0,10.0,0.0,8584.0,289.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,8.0
